iter	RMSE
0	0.531081368
1	0.5304123673
2	0.5297747079
3	0.5291721307
4	0.5286445965
5	0.5281317801
6	0.5276431838
7	0.5271802289
8	0.5267481812
9	0.5263220131
10	0.525942332
11	0.5255631233
12	0.5252159585
13	0.5248918474
14	0.5245872069
15	0.52429512
16	0.5240109308
17	0.5237423093
18	0.5235040905
19	0.5232672831
20	0.5230406858
21	0.5228614225
22	0.5226776586
23	0.5224798568
24	0.5223294411
25	0.5221503677
26	0.5219823447
27	0.5218534816
28	0.5217099288
29	0.5215782063
30	0.5214617302
31	0.521335394
32	0.5212260355
33	0.5211254403
34	0.5210260537
35	0.5209417253
36	0.5208442962
37	0.5207605136
38	0.520680566
39	0.5206103516
40	0.5205515585
41	0.5204765982
42	0.5204095795
43	0.5203477268
44	0.5202875116
45	0.5202254343
46	0.5201720943
47	0.5201169755
48	0.5200646209
49	0.5200239674
50	0.5199854593
51	0.519947819
52	0.519908211
53	0.5198700698
54	0.5198379246
55	0.5197986728
56	0.5197696359
57	0.5197341033
58	0.5197041431
59	0.5196765445
60	0.5196533906
61	0.5196295737
62	0.5196044495
63	0.5195835842
64	0.5195566613
65	0.5195381037
66	0.5195124251
67	0.5194887167
68	0.5194685898
69	0.5194479861
70	0.5194302967
71	0.5194134933
72	0.5193996051
73	0.5193791721
74	0.5193739161
75	0.5193575775
76	0.519344684
77	0.5193327677
78	0.5193154668
79	0.5193058263
80	0.5193010837
81	0.5192848897
82	0.5192721877
83	0.5192588443
84	0.5192483917
85	0.5192360237
86	0.5192221039
87	0.5192144465
88	0.5192032209
89	0.5191837606
90	0.5191705726
91	0.5191639878
92	0.5191550207
93	0.5191447948
94	0.5191356662
95	0.5191277801
96	0.519116018
97	0.5191056887
98	0.5190947828
99	0.5190793343
100	0.5190687733
101	0.5190592657
102	0.5190475993
103	0.519031702
104	0.5190177968
105	0.5190104148
106	0.5190049256
107	0.5189957479
108	0.5189853744
109	0.518978623
110	0.5189673035
111	0.5189579836
112	0.5189399645
113	0.5189298119
114	0.5189174203
115	0.5189109239
116	0.5189031329
117	0.5188955141
118	0.5188841358
119	0.5188724796
120	0.5188558022
121	0.518846471
122	0.5188395842
123	0.5188281643
124	0.5188219916
125	0.5188116624
126	0.5188044641
127	0.5187985524
128	0.518793883
129	0.5187833584
130	0.5187759935
131	0.518766838
132	0.5187567719
133	0.5187471513
134	0.5187401396
135	0.5187343182
136	0.5187245672
137	0.518717154
138	0.5187045098
139	0.5186894056
140	0.5186825136
141	0.5186709381
142	0.518661088
143	0.5186537686
144	0.5186454706
145	0.5186394486
146	0.518629224
147	0.5186226314
148	0.5186163592
149	0.5186101247
150	0.5186007405
151	0.518592738
152	0.5185864023
153	0.5185788341
154	0.5185729949
155	0.5185653165
156	0.5185560136
157	0.5185429867
158	0.518535463
159	0.5185253062
